Time	Open	High	Low	Close	Volume
2018-08-24 00:00:00	14.497	14.866	14.476	14.779	3260
2018-08-26 00:00:00	14.837	14.858	14.806	14.854	104
2018-08-27 00:00:00	14.854	14.91	14.742	14.886	2582
2018-08-28 00:00:00	14.886	14.988	14.664	14.744	3174
2018-08-29 00:00:00	14.744	14.788	14.654	14.754	2690
2018-08-30 00:00:00	14.754	14.754	14.496	14.55	3191
2018-08-31 00:00:00	14.55	14.705	14.478	14.512	2795
2018-09-02 00:00:00	14.513	14.528	14.502	14.514	52
2018-09-03 00:00:00	14.512	14.543	14.385	14.479	1870
2018-09-04 00:00:00	14.479	14.506	13.999	14.159	3376
2018-09-05 00:00:00	14.161	14.226	14.081	14.19	2850
2018-09-06 00:00:00	14.189	14.297	14.103	14.17	3038
2018-09-07 00:00:00	14.171	14.247	14.068	14.135	3584
2018-09-09 00:00:00	14.144	14.162	14.129	14.157	68
2018-09-10 00:00:00	14.153	14.242	14.068	14.146	2989
2018-09-11 00:00:00	14.147	14.22	13.933	14.115	2815
2018-09-12 00:00:00	14.114	14.272	14.063	14.238	3329
2018-09-13 00:00:00	14.238	14.344	14.137	14.179	3023
2018-09-14 00:00:00	14.179	14.276	13.998	14.004	2836
2018-09-16 00:00:00	14.042	14.065	14.021	14.047	71
2018-09-17 00:00:00	14.047	14.24	14.032	14.093	2851
2018-09-18 00:00:00	14.093	14.224	14.065	14.163	3422
2018-09-19 00:00:00	14.167	14.33	14.139	14.238	2954
2018-09-20 00:00:00	14.239	14.346	14.162	14.322	3424
2018-09-21 00:00:00	14.322	14.425	14.136	14.258	3837
2018-09-23 00:00:00	14.266	14.282	14.243	14.264	48
2018-09-24 00:00:00	14.264	14.384	14.185	14.26	2894
2018-09-25 00:00:00	14.26	14.549	14.209	14.46	2901
2018-09-26 00:00:00	14.461	14.503	14.292	14.376	3504
2018-09-27 00:00:00	14.376	14.451	14.171	14.254	4073
2018-09-28 00:00:00	14.252	14.71	14.224	14.619	3096
2018-09-30 00:00:00	14.647	14.675	14.637	14.645	60
2018-10-01 00:00:00	14.647	14.647	14.363	14.489	3334
2018-10-02 00:00:00	14.486	14.901	14.434	14.735	3232
2018-10-03 00:00:00	14.732	14.815	14.611	14.62	3505
2018-10-04 00:00:00	14.62	14.759	14.523	14.578	3471
2018-10-05 00:00:00	14.578	14.709	14.508	14.599	2971
2018-10-07 00:00:00	14.633	14.655	14.627	14.64	55
2018-10-08 00:00:00	14.64	14.652	14.258	14.389	3334
2018-10-09 00:00:00	14.389	14.431	14.256	14.39	2912
2018-10-10 00:00:00	14.39	14.421	14.245	14.319	3082
2018-10-11 00:00:00	14.319	14.616	14.25	14.561	4731
2018-10-12 00:00:00	14.562	14.696	14.503	14.563	3652
2018-10-14 00:00:00	14.585	14.636	14.574	14.617	93
2018-10-15 00:00:00	14.618	14.767	14.591	14.691	3021
2018-10-16 00:00:00	14.691	14.84	14.608	14.649	2865
